STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/15/2014,,,,,0,",,7,0700",0,",,7",0,",,7",44,",,7",18,",,7",31,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/16/2014,,,,,0,",,7,0700",0,",,7",0,",,7",70,",,7",31,",,7",43,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/17/2014,,,,,0,",,7,0700",0,",,7",0,",,7",59,",,7",29,",,7",29,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/18/2014,,,,,0,",,7,0700",0,",,7",0,",,7",67,",,7",29,",,7",42,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/19/2014,,,,,0,",,7,0700",0,",,7",0,",,7",83,",,7",42,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/20/2014,,,,,0.04,",,7,0700",0,",,7",0,",,7",70,",,7",52,",,7",,
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/21/2014,,,,,0,",,7,0700",0,",,7",0,",,7",75,",,7",40,",,7",43,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/22/2014,,,,,0,",,7,0700",0,",,7",0,",,7",75,",,7",38,",,7",40,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/23/2014,,,,,0,",,7,0700",0,",,7",0,",,7",83,",,7",40,",,7",50,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/24/2014,,,,,0.37,",,7,0700",0,",,7",0,",,7",78,",,7",33,",,7",33,",,7,0700"
USC00052223,"DENVER WATER DEPARTMENT, CO US",39.7294,-105.0083,1593.5,4/25/2014,,,,,0,",,7,0700",0,",,7",0,",,7",69,",,7",33,",,7",40,",,7,0700"
